########## https://www.kegg.jp/kegg-bin/show_organism?menu_type=gene_catalogs&org=sao
########## 03011 (Ribosome) 03009 (Ribosome biogenesis) 03016 (Transfer RNA biogenesis) 03012 (Translation factors)
########## ATTENTION, je n'ai pas encore eu le temps mais ici il ne faut conserver que les lignes qui commencent par SAOUHSC_ (qui sont les gènes présents dans nos données rnaseq, je m'en occupe dès que je peux)
##### Ribosomal proteins
### Bacteria 
# Small subunit
SAOUHSC_01493 rpsA; 30S ribosomal protein S1
SAOUHSC_02506 rpsC; 30S ribosomal protein S3
SAOUHSC_01829 rpsD; 30S ribosomal protein S4
SAOUHSC_02494 rpsE; 30S ribosomal protein S5
SAOUHSC_00348 rpsF; 30S ribosomal protein S6
SAOUHSC_00528 30S ribosomal protein S7
SAOUHSC_02498 rpsH; 30S ribosomal protein S8
SAOUHSC_02477 rpsI; 30S ribosomal protein S9
SAOUHSC_02512a 30S ribosomal protein S10
SAOUHSC_02486 30S ribosomal protein S11
SAOUHSC_00527 rpsL; 30S ribosomal protein S12
SAOUHSC_02487 rpsM; 30S ribosomal protein S13
SAOUHSC_01329 rpsN; 30S ribosomal protein S14
SAOUHSC_02499 rpsN; 30S ribosomal protein S14
SAOUHSC_01250 rpsO; 30S ribosomal protein S15
SAOUHSC_01208 rpsP; 30S ribosomal protein S16
SAOUHSC_02503 rpsQ; 30S ribosomal protein S17
SAOUHSC_00350 rpsR; 30S ribosomal protein S18
SAOUHSC_02508 rpsS; 30S ribosomal protein S19
SAOUHSC_01689 rpsT; 30S ribosomal protein S20
SAOUHSC_01678 rpsU; 30S ribosomal protein S21
K02945 RP-S1; small subunit ribosomal protein S1
K02982 RP-S3; small subunit ribosomal protein S3
K02986 RP-S4; small subunit ribosomal protein S4
K02988 RP-S5; small subunit ribosomal protein S5
K02990 RP-S6; small subunit ribosomal protein S6
K02992 RP-S7; small subunit ribosomal protein S7
K02994 RP-S8; small subunit ribosomal protein S8
K02996 RP-S9; small subunit ribosomal protein S9
K02946 RP-S10; small subunit ribosomal protein S10
K02948 RP-S11; small subunit ribosomal protein S11
K02950 RP-S12; small subunit ribosomal protein S12
K02952 RP-S13; small subunit ribosomal protein S13
K02954 RP-S14; small subunit ribosomal protein S14
K02954 RP-S14; small subunit ribosomal protein S14
K02956 RP-S15; small subunit ribosomal protein S15
K02959 RP-S16; small subunit ribosomal protein S16
K02961 RP-S17; small subunit ribosomal protein S17
K02963 RP-S18; small subunit ribosomal protein S18
K02965 RP-S19; small subunit ribosomal protein S19
K02968 RP-S20; small subunit ribosomal protein S20
K02970 RP-S21; small subunit ribosomal protein S21
# Large subunit 
SAOUHSC_00519 rplA; 50S ribosomal protein L1
SAOUHSC_02509 rplB; 50S ribosomal protein L2
SAOUHSC_02512 rplC; 50S ribosomal protein L3
SAOUHSC_02511 rplD; 50S ribosomal protein L4
SAOUHSC_02500 rplE; 50S ribosomal protein L5
