Geneid	protein_id	product	ctrl4	ctrl5	ctrl6	IP1	IP2	IP3
SAOUHSC_00001	ABD29192.1	chromosomal replication initiator protein DnaA	20678	17047	13186	14120	19569	3990
SAOUHSC_00002	ABD29193.1	DNA polymerase III%2C beta subunit	15976	12174	11155	12125	15034	2119
SAOUHSC_00003	ABD29194.1	conserved hypothetical protein	1622	1213	874	1375	1016	126
SAOUHSC_00004	ABD29195.1	DNA replication and repair protein%2C putative	13994	11418	9933	7582	6709	839
SAOUHSC_00005	ABD29196.1	DNA gyrase%2C B subunit	29539	26379	24185	12046	12073	3492
SAOUHSC_00006	ABD29197.1	DNA gyrase%2C A subunit	45169	33351	32195	18910	12471	4001
SAOUHSC_00007	ABD29198.1	conserved hypothetical protein	7039	4917	4753	3552	5008	1208
SAOUHSC_00008	ABD29199.1	histidine ammonia-lyase	3221	2562	2419	1358	1972	311
SAOUHSC_00009	ABD29200.1	seryl-tRNA synthetase	2467	1979	1432	40247	77893	13348
SAOUHSC_00010	ABD29201.1	conserved hypothetical protein	353	302	274	2154	4633	273
SAOUHSC_00012	ABD29202.1	conserved hypothetical protein	210	175	171	1161	2752	299
SAOUHSC_00013	ABD29203.1	conserved hypothetical protein	1351	1315	999	4711	8955	1895
SAOUHSC_00014	ABD29204.1	conserved hypothetical protein	4655	3433	3543	7026	8905	1176
SAOUHSC_00015	ABD29205.1	conserved hypothetical protein	25865	21834	22438	20876	25792	5822
SAOUHSC_00017	ABD29206.1	ribosomal protein L9	6389	5531	5664	5238	6496	1042
SAOUHSC_00018	ABD29207.1	replicative DNA helicase	11773	10372	8760	14311	19500	6291
SAOUHSC_00019	ABD29208.1	adenylosuccinate synthetase	7007	6279	6876	8575	5225	3218
SAOUHSC_T00018	NA	NA	86	42	38	47	7	130
SAOUHSC_T00011	NA	NA	370	361	159	229	31	200
SAOUHSC_00020	ABD29209.1	two-component response regulator%2C putative	3874	3551	2698	3918	5993	921
SAOUHSC_00021	ABD29210.1	sensory box histidine kinase VicK%2C putative	12378	10600	8368	11363	13107	6165
SAOUHSC_00022	ABD29211.1	conserved hypothetical protein	12999	11016	9137	10257	12036	1989
SAOUHSC_00023	ABD29212.1	conserved hypothetical protein	9543	7827	7311	6826	8127	2075
SAOUHSC_00024	ABD29213.1	conserved hypothetical protein	2795	1710	1851	1344	1082	373
SAOUHSC_00025	ABD29214.1	conserved hypothetical protein	2873	2071	2138	1241	1550	675
SAOUHSC_00026	ABD29215.1	conserved hypothetical protein	105	50	114	17	21	2
SAOUHSC_00027	ABD29216.1	conserved hypothetical protein	378	330	288	324	527	146
SAOUHSC_00028	ABD29217.1	hypothetical protein	12	17	12	30	40	7
SAOUHSC_00029	ABD29218.1	conserved hypothetical protein	1	3	7	18	9	3
SAOUHSC_00030	ABD29219.1	conserved hypothetical protein	1582	1159	1334	2385	3944	296
SAOUHSC_00031	ABD29220.1	conserved hypothetical protein	28563	18112	29748	2106	2327	325
SAOUHSC_00032	ABD29221.1	conserved hypothetical protein	57	28	128	22	40	18
SAOUHSC_00033	ABD29222.1	conserved hypothetical protein	14292	9538	16213	1466	1161	149
SAOUHSC_00034	ABD29223.1	conserved hypothetical protein	3690	2781	3282	332	323	20
SAOUHSC_00035	ABD29224.1	conserved hypothetical protein	24767	16411	25479	1015	473	39
SAOUHSC_00036	ABD29225.1	conserved hypothetical protein	46774	32714	48401	2067	1140	283
SAOUHSC_00037	ABD29226.1	conserved hypothetical protein	45173	29474	42561	8533	8156	3304
SAOUHSC_00038	ABD29227.1	conserved hypothetical protein	384	302	274	228	164	21
SAOUHSC_00039	ABD29228.1	conserved hypothetical protein	4202	3781	3012	3478	4314	2013
SAOUHSC_00040	ABD29229.1	conserved hypothetical protein	40	30	38	33	51	6
SAOUHSC_00041	ABD29230.1	conserved hypothetical protein	753	581	581	455	635	68
SAOUHSC_00042	ABD29231.1	conserved hypothetical protein	1965	1403	1598	1005	1112	140
SAOUHSC_00043	ABD29232.1	conserved hypothetical protein	782	540	618	268	223	33
SAOUHSC_00044	ABD29233.1	conserved hypothetical protein	1883	1313	1546	805	977	73
SAOUHSC_00045	ABD29234.1	conserved hypothetical protein	144	91	154	316	521	72
